method	template	probe	audience	auth	origin	registration_source	consumer_source	consumer_fragment
GET	/api/v1/accounts	/api/v1/accounts	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/accounts.rs	frontend/src/machines/accounts.ts	api('GET', '/accounts')
DELETE	/api/v1/accounts/{account_id}	/api/v1/accounts/missing	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/accounts.rs	frontend/src/machines/accounts.ts	api('DELETE', `/accounts/${encodeURIComponent(account.account_id)}`)
PATCH	/api/v1/accounts/{account_id}	/api/v1/accounts/missing	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/accounts.rs	frontend/src/machines/accounts.ts	api('PATCH', `/accounts/${encodeURIComponent(account.account_id)}`
POST	/api/v1/accounts/{account_id}/select	/api/v1/accounts/missing/select	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/accounts.rs	frontend/src/machines/accounts.ts	`/accounts/${encodeURIComponent(account.account_id)}/select`
POST	/api/v1/accounts/offline	/api/v1/accounts/offline	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/accounts.rs	frontend/src/machines/accounts.ts	api('POST', '/accounts/offline'
POST	/api/v1/auth/logout	/api/v1/auth/logout	internal-runtime	capability	allowed-local-origin-when-present	apps/api/src/routes/auth.rs	@internal-runtime	account credential-session logout adapter; no browser caller
POST	/api/v1/auth/profile/sync	/api/v1/auth/profile/sync	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/auth.rs	frontend/src/machines/accounts.ts	api('POST', '/auth/profile/sync')
POST	/api/v1/auth/refresh	/api/v1/auth/refresh	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/auth.rs	frontend/src/machines/accounts.ts	api('POST', '/auth/refresh')
GET	/api/v1/auth/status	/api/v1/auth/status	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/auth.rs	frontend/src/machines/accounts.ts	api('GET', '/auth/status')
GET	/api/v1/config	/api/v1/config	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/config.rs	frontend/src/bootstrap.ts	api('GET', '/config').then(configResponse)
PUT	/api/v1/config	/api/v1/config	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/config.rs	frontend/src/theme.ts	api('PUT', '/config'
POST	/api/v1/content/compatibility	/api/v1/content/compatibility	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/content.rs	frontend/src/content.ts	api('POST', '/content/compatibility'
POST	/api/v1/content/install	/api/v1/content/install	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/content.rs	frontend/src/content.ts	api('POST', '/content/install'
GET	/api/v1/content/item	/api/v1/content/item	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/content.rs	frontend/src/content.ts	`/content/item?id=${encodeURIComponent(canonicalId)}`
GET	/api/v1/content/modpack/files	/api/v1/content/modpack/files	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/content.rs	frontend/src/content.ts	`/content/modpack/files?${params.toString()}`
POST	/api/v1/content/modpack/install	/api/v1/content/modpack/install	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/content.rs	frontend/src/content.ts	api('POST', '/content/modpack/install'
GET	/api/v1/content/modpack/target	/api/v1/content/modpack/target	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/content.rs	frontend/src/content.ts	`/content/modpack/target?${params.toString()}`
POST	/api/v1/content/plan	/api/v1/content/plan	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/content.rs	frontend/src/content.ts	api('POST', '/content/plan'
GET	/api/v1/content/search	/api/v1/content/search	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/content.rs	frontend/src/content.ts	`/content/search?${params.toString()}`
GET	/api/v1/flags	/api/v1/flags	developer-diagnostic	capability	allowed-local-origin-when-present	apps/api/src/routes/flags.rs	frontend/src/flags.ts	api('GET', '/flags')
PUT	/api/v1/flags/{key}	/api/v1/flags/missing	developer-diagnostic	capability	allowed-local-origin-when-present	apps/api/src/routes/flags.rs	frontend/src/flags.ts	`/flags/${encodeURIComponent(key)}`
GET	/api/v1/install/{id}/events	/api/v1/install/missing/events	product-ui	capability-or-stream-ticket	allowed-local-origin-when-present	apps/api/src/routes/install.rs	frontend/src/machines/downloads.ts	apiEventSourceUrl(`/install/${installId}/events`)
GET	/api/v1/install/{id}/status	/api/v1/install/missing/status	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/install.rs	frontend/src/machines/downloads.ts	`/install/${encodeURIComponent(installId)}/status`
GET	/api/v1/install/queue	/api/v1/install/queue	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/install.rs	frontend/src/machines/downloads.ts	api('GET', '/install/queue')
POST	/api/v1/install/queue	/api/v1/install/queue	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/install.rs	frontend/src/machines/downloads.ts	options.retry ? '/install/queue/retry' : '/install/queue'
DELETE	/api/v1/install/queue/{id}	/api/v1/install/queue/missing	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/install.rs	frontend/src/machines/downloads.ts	`/install/queue/${encodeURIComponent(queueId)}`
POST	/api/v1/install/queue/retry	/api/v1/install/queue/retry	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/install.rs	frontend/src/machines/downloads.ts	options.retry ? '/install/queue/retry' : '/install/queue'
GET	/api/v1/instances	/api/v1/instances	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	frontend/src/bootstrap.ts	api('GET', '/instances').then(instancesResponse)
POST	/api/v1/instances	/api/v1/instances	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	frontend/src/instance-create.ts	const endpoint = args.modpack ? '/instances/modpack' : args.setupPlanId ? '/instances/setup' : '/instances'
DELETE	/api/v1/instances/{id}	/api/v1/instances/missing	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	frontend/src/views/instance/instance-actions.ts	api('DELETE', `/instances/${encodeURIComponent(inst.id)}${suffix}`)
GET	/api/v1/instances/{id}	/api/v1/instances/missing	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	frontend/src/views/instance/tabs/SettingsPane.tsx	api('GET', `/instances/${encodeURIComponent(inst.id)}`)
PUT	/api/v1/instances/{id}	/api/v1/instances/missing	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	frontend/src/views/instance/instance-actions.ts	api('PUT', `/instances/${encodeURIComponent(inst.id)}`
GET	/api/v1/instances/{id}/content	/api/v1/instances/missing/content	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/content.rs	frontend/src/content.ts	`/instances/${encodeURIComponent(instanceId)}/content`
POST	/api/v1/instances/{id}/content/uninstall	/api/v1/instances/missing/content/uninstall	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/content.rs	frontend/src/content.ts	`/instances/${encodeURIComponent(instanceId)}/content/uninstall`
GET	/api/v1/instances/{id}/content/updates	/api/v1/instances/missing/content/updates	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/content.rs	frontend/src/content.ts	`/instances/${encodeURIComponent(instanceId)}/content/updates`
POST	/api/v1/instances/{id}/duplicate	/api/v1/instances/missing/duplicate	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	frontend/src/views/instance/instance-actions.ts	`/instances/${encodeURIComponent(inst.id)}/duplicate`
GET	/api/v1/instances/{id}/logs	/api/v1/instances/missing/logs	internal-runtime	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	@internal-runtime	instance resource-list adapter; UI consumes the consolidated resources view
GET	/api/v1/instances/{id}/logs/{name}	/api/v1/instances/missing/logs/missing	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	frontend/src/views/instance/logs.ts	`/instances/${encodeURIComponent(id)}/logs/${encodeURIComponent(name)}`
GET	/api/v1/instances/{id}/mods	/api/v1/instances/missing/mods	internal-runtime	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	@internal-runtime	instance mod-list adapter; UI consumes the consolidated resources view
DELETE	/api/v1/instances/{id}/mods/{name}	/api/v1/instances/missing/mods/missing	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	frontend/src/views/instance/mod-actions.ts	api('DELETE', `/instances/${encodeURIComponent(inst.id)}/mods/${encodeURIComponent(modName)}`)
PUT	/api/v1/instances/{id}/mods/{name}	/api/v1/instances/missing/mods/missing	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	frontend/src/views/instance/mod-actions.ts	api('PUT', `/instances/${encodeURIComponent(inst.id)}/mods/${encodeURIComponent(modName)}`
POST	/api/v1/instances/{id}/open-folder	/api/v1/instances/missing/open-folder	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	frontend/src/views/instance/instance-actions.ts	`/instances/${encodeURIComponent(id)}/open-folder${suffix}`
GET	/api/v1/instances/{id}/resources	/api/v1/instances/missing/resources	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	frontend/src/views/instance/resources.ts	`/instances/${encodeURIComponent(id)}/resources`
GET	/api/v1/instances/{id}/screenshots	/api/v1/instances/missing/screenshots	internal-runtime	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	@internal-runtime	instance screenshot-list adapter; UI consumes the consolidated resources view
DELETE	/api/v1/instances/{id}/screenshots/{name}	/api/v1/instances/missing/screenshots/missing	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	frontend/src/views/instance/screenshot-actions.ts	`/instances/${encodeURIComponent(inst.id)}/screenshots/${encodeURIComponent(screenshotName)}`
PUT	/api/v1/instances/{id}/screenshots/{name}	/api/v1/instances/missing/screenshots/missing	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	frontend/src/views/instance/screenshot-actions.ts	`/instances/${encodeURIComponent(inst.id)}/screenshots/${encodeURIComponent(screenshotName)}`
GET	/api/v1/instances/{id}/screenshots/{name}/file	/api/v1/instances/missing/screenshots/missing/file	product-ui	capability-or-media-ticket	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	frontend/src/views/instance/screenshot-actions.ts	`/instances/${encodeURIComponent(inst.id)}/screenshots/${encodeURIComponent(name)}/file`
GET	/api/v1/instances/{id}/worlds	/api/v1/instances/missing/worlds	internal-runtime	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	@internal-runtime	instance world-list adapter; UI consumes the consolidated resources view
DELETE	/api/v1/instances/{id}/worlds/{name}	/api/v1/instances/missing/worlds/missing	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	frontend/src/views/instance/world-actions.ts	`/instances/${encodeURIComponent(inst.id)}/worlds/${encodeURIComponent(worldName)}`
PUT	/api/v1/instances/{id}/worlds/{name}	/api/v1/instances/missing/worlds/missing	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	frontend/src/views/instance/world-actions.ts	`/instances/${encodeURIComponent(inst.id)}/worlds/${encodeURIComponent(worldName)}`
POST	/api/v1/instances/{id}/worlds/{name}/backup	/api/v1/instances/missing/worlds/missing/backup	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	frontend/src/views/instance/world-actions.ts	`/instances/${encodeURIComponent(inst.id)}/worlds/${encodeURIComponent(worldName)}/backup`
GET	/api/v1/instances/create-view	/api/v1/instances/create-view	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	frontend/src/views/create/CreateView.tsx	`/instances/create-view?source=${encodeURIComponent(source)}`
GET	/api/v1/instances/create-view/loader-builds	/api/v1/instances/create-view/loader-builds	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	frontend/src/views/create/CreateView.tsx	`/instances/create-view/loader-builds?source=${encodeURIComponent(sourceId)}&minecraft_version=${encodeURIComponent(mcVersionId)}`
POST	/api/v1/instances/modpack	/api/v1/instances/modpack	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	frontend/src/instance-create.ts	args.modpack ? '/instances/modpack'
POST	/api/v1/instances/setup	/api/v1/instances/setup	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	frontend/src/instance-create.ts	args.setupPlanId ? '/instances/setup'
POST	/api/v1/instances/setup/plan	/api/v1/instances/setup/plan	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/instances.rs	frontend/src/content.ts	api('POST', '/instances/setup/plan'
GET	/api/v1/java	/api/v1/java	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/java.rs	frontend/src/ui/RuntimeFields.tsx	api('GET', '/java')
POST	/api/v1/launch	/api/v1/launch	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/launch/mod.rs	frontend/src/launch.ts	api('POST', '/launch'
GET	/api/v1/launch/{id}/command	/api/v1/launch/missing/command	developer-diagnostic	capability	allowed-local-origin-when-present	apps/api/src/routes/launch/mod.rs	@developer-diagnostic	bounded redacted process-plan command inspection
GET	/api/v1/launch/{id}/events	/api/v1/launch/missing/events	product-ui	capability-or-stream-ticket	allowed-local-origin-when-present	apps/api/src/routes/launch/mod.rs	frontend/src/launch.ts	apiEventSourceUrl(`/launch/${sessionId}/events`)
POST	/api/v1/launch/{id}/kill	/api/v1/launch/missing/kill	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/launch/mod.rs	frontend/src/launch.ts	`/launch/${session.sessionId}/kill`
GET	/api/v1/launch/{id}/status	/api/v1/launch/missing/status	product-ui	capability	allowed-local-origin-when-present	apps/api/src/routes/launch/mod.rs	frontend/src/launch.ts	`/launch/${sessionId}/status`
POST	/api/v1/launch/benchmark	/api/v1/launch/benchmark	developer-diagnostic	capability	allowed-local-origin-when-present	apps/api/src/routes/launch/mod.rs	@developer-diagnostic	single benchmark launch driver
GET	/api/v1/launch/benchmark/matrix	/api/v1/launch/benchmark/matrix	developer-diagnostic	capability	allowed-local-origin-when-present	apps/api/src/routes/launch/mod.rs	frontend/src/views/settings/PerformanceLabCard.tsx	api('GET', '/launch/benchmark/matrix')
GET	/api/v1/launch/benchmark/qualification/family-c-1-12-2/{suite_id}	/api/v1/launch/benchmark/qualification/family-c-1-12-2/missing	developer-diagnostic	capability	allowed-local-origin-when-present	apps/api/src/routes/launch/mod.rs	frontend/src/views/settings/PerformanceLabSuiteDrivers.tsx	`/launch/benchmark/qualification/family-c-1-12-2/${encodeURIComponent(suiteId)}`
GET	/api/v1/launch/benchmark/qualification/family-c-1-12-2/preview	/api/v1/launch/benchmark/qualification/family-c-1-12-2/preview	developer-diagnostic	capability	allowed-local-origin-when-present	apps/api/src/routes/launch/mod.rs	frontend/src/views/settings/PerformanceLabCard.tsx	api('GET', '/launch/benchmark/qualification/family-c-1-12-2/preview')
POST	/api/v1/launch/benchmark/suite	/api/v1/launch/benchmark/suite	developer-diagnostic	capability	allowed-local-origin-when-present	apps/api/src/routes/launch/mod.rs	@developer-diagnostic	manual benchmark suite launch
